"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20241001";"20250904";"10TB";"00";"Burg de Ruiterschool";"8374KG";"KUINRE";"1708";"Steenwijkerland";"Overijssel";"Bo";"Openbaar";"41816";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0"
"20241001";"20250904";"10TC";"00";"Opb Basissch de Polsstok";"2825BE";"BERKENWOUDE";"1931";"Krimpenerwaard";"Zuid-Holland";"Bo";"Openbaar";"41401";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0"
"20241001";"20250904";"10TE";"00";"Basisschool Brookschole";"7475PW";"MARKELO";"1735";"Hof van Twente";"Overijssel";"Bo";"Openbaar";"41785";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"<5";"0"
"20241001";"20250904";"10TH";"00";"BS De Zuidwester";"9471PS";"ZUIDLAREN";"1730";"Tynaarlo";"Drenthe";"Bo";"Openbaar";"41851";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"5";"<5";"<5";"0"
"20241001";"20250904";"10TO";"00";"Basisschool de Eiber";"7701VE";"DEDEMSVAART";"0160";"Hardenberg";"Overijssel";"Bo";"Openbaar";"41630";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10TP";"00";"Obs de Elsakker";"9337PB";"WESTERVELDE";"1699";"Noordenveld";"Drenthe";"Bo";"Openbaar";"42854";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0"
"20241001";"20250904";"10TR";"00";"De Singel";"4701HL";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Openbaar";"41471";"0";"0";"0";"<5";"0";"5";"<5";"<5";"0";"7";"<5";"0"
"20241001";"20250904";"10TT";"00";"De Spelwert";"5301WE";"ZALTBOMMEL";"0297";"Zaltbommel";"Gelderland";"Bo";"Openbaar";"41633";"0";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0";"6";"0"
"20241001";"20250904";"10UA";"00";"Merwedeschool";"3372XG";"HARDINXVELD-GIESSENDAM";"0523";"Hardinxveld-Giessendam";"Zuid-Holland";"Bo";"Openbaar";"41386";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"7";"<5";"0"
"20241001";"20250904";"10UB";"00";"De Straap";"5709KG";"HELMOND";"0794";"Helmond";"Noord-Brabant";"Bo";"Openbaar";"41349";"0";"<5";"<5";"<5";"<5";"<5";"<5";"6";"<5";"0";"<5";"<5"
"20241001";"20250904";"10UD";"00";"Obs De Molenvliet";"3243AM";"STAD AAN 'T HARINGVLIET";"1924";"Goeree-Overflakkee";"Zuid-Holland";"Bo";"Openbaar";"41502";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0"
"20241001";"20250904";"10UG";"00";"Jenaplanschool de Buizerd";"6601AT";"WIJCHEN";"0296";"Wijchen";"Gelderland";"Bo";"Openbaar";"38001";"0";"<5";"<5";"6";"<5";"7";"0";"7";"0";"7";"5";"<5"
"20241001";"20250904";"10UJ";"00";"De Boomhut";"7471EL";"GOOR";"1735";"Hof van Twente";"Overijssel";"Bo";"Openbaar";"41785";"0";"<5";"5";"0";"6";"0";"6";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"10UK";"00";"Basisschool Het Mozaiek";"4142EM";"LEERDAM";"1961";"Vijfheerenlanden";"Utrecht";"Bo";"Openbaar";"41638";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0"
"20241001";"20250904";"10UN";"00";"IKC 't Oelebröd";"7963BZ";"RUINEN";"1690";"De Wolden";"Drenthe";"Bo";"Openbaar";"41895";"0";"<5";"0";"<5";"0";"7";"<5";"<5";"<5";"5";"6";"0"
