"PEILDATUM_LEERLINGEN";"PRIKDATUM_ADVIEZEN";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20221001";"20230501";"05QJ";"00";"Pr Willem Alexander Sch";"7245AH";"LAREN GLD";"262";"Lochem";"Gelderland";"Bo";"Protestants-Christelijk";"27067";"0";"<5";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0"
"20221001";"20230501";"05QM";"00";"Basisschool De Schakel";"3956GL";"LEERSUM";"1581";"Utrechtse Heuvelrug";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"0";"<5";"0";"<5";"<5";"5";"<5";"6";"<5";"<5";"0"
"20221001";"20230501";"05QN";"00";"Ichthusschool";"8148RE";"LEMELE";"175";"Ommen";"Overijssel";"Bo";"Protestants-Christelijk";"42744";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"0"
"20221001";"20230501";"05QO";"00";"Chr Basissch De Klimop";"7122LX";"AALTEN";"197";"Aalten";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0"
"20221001";"20230501";"05QP";"00";"Basisschool Podium";"3632BT";"LOENEN AAN DE VECHT";"1904";"Stichtse Vecht";"Utrecht";"Bo";"Protestants-Christelijk";"41138";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"05QS";"00";"Dorpsschool Meeden";"9651AG";"MEEDEN";"1952";"Midden-Groningen";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"05QT";"00";"Chr Basisschool De Rank";"4231DC";"MEERKERK";"1961";"Vijfheerenlanden";"Utrecht";"Bo";"Protestants-Christelijk";"41439";"0";"0";"<5";"<5";"0";"0";"9";"<5";"6";"<5";"<5";"0"
"20221001";"20230501";"05QU";"00";"De Regenboog";"3248AB";"MELISSANT";"1924";"Goeree-Overflakkee";"Zuid-Holland";"Bo";"Protestants-Christelijk";"42632";"0";"0";"<5";"0";"<5";"0";"5";"0";"<5";"0";"0";"0"
"20221001";"20230501";"05QV";"00";"Basisschool De Schakel";"4194RR";"METEREN";"1960";"West Betuwe";"Gelderland";"Bo";"Protestants-Christelijk";"41827";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"05QW";"00";"CBS t Kompas";"9136PS";"PAESENS";"1970";"Noardeast-FryslÃn";"Friesland";"Bo";"Protestants-Christelijk";"40788";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0"
"20221001";"20230501";"05QX";"00";"PCB Meester Lalleman";"2841LC";"MOORDRECHT";"1892";"Zuidplas";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"5";"0"
"20221001";"20230501";"05RB";"00";"Basisschool Kisveld";"7161HG";"NEEDE";"1859";"Berkelland";"Gelderland";"Bo";"Protestants-Christelijk";"24844";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
