"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20231001";"17AE";"00";"De Bente OBS";"7881HG";"EMMER-COMPASCUUM";"114";"Emmen";"Drenthe";"Bo";"Openbaar";"42830";"<5";"11";"<5";"0";"0";"6";"11";"<5";"11";"5"
"20231001";"17AH";"00";"OBS De Sterrensteen";"9743EZ";"GRONINGEN";"14";"Groningen";"Groningen";"Bo";"Openbaar";"42510";"<5";"14";"10";"0";"0";"11";"15";"<5";"12";"11"
"20231001";"17AM";"00";"RK Bs De Cortendijck";"4706DZ";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"0";"<5";"5";"0";"0";"<5";"5";"0";"<5";"7"
"20231001";"17AP";"00";"Agnes";"3071EE";"ROTTERDAM";"599";"Rotterdam";"Zuid-Holland";"Bo";"Rooms-Katholiek";"24597";"7";"22";"12";"0";"0";"19";"22";"<5";"21";"18"
"20231001";"17AV";"00";"BS De Argonaut";"1317HP";"ALMERE";"34";"Almere";"Flevoland";"Bo";"Openbaar";"41676";"<5";"17";"7";"0";"0";"<5";"21";"<5";"14";"10"
"20231001";"17BB";"00";"Huibersschool";"1065VT";"AMSTERDAM";"363";"Amsterdam";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"5";"8";"<5";"0";"<5";"8";"7";"<5";"11";"5"
"20231001";"17BC";"00";"OBS de Mende";"7881BA";"EMMER-COMPASCUUM";"114";"Emmen";"Drenthe";"Bo";"Openbaar";"42830";"0";"6";"15";"0";"0";"9";"12";"0";"<5";"19"
"20231001";"17BH";"00";"Basisschool De Blokwei";"4703AV";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Rooms-Katholiek";"74154";"0";"5";"5";"0";"0";"<5";"8";"0";"6";"<5"
"20231001";"17BL";"00";"OBS De Dreef";"7881KL";"EMMER-COMPASCUUM";"114";"Emmen";"Drenthe";"Bo";"Openbaar";"42830";"<5";"5";"<5";"0";"0";"<5";"7";"<5";"<5";"7"
"20231001";"17BT";"00";"OBS Tuindorp";"3571EN";"UTRECHT";"344";"Utrecht";"Utrecht";"Bo";"Openbaar";"41400";"0";"22";"31";"0";"0";"8";"45";"<5";"13";"38"
