"PEILDATUM_LEERLINGEN";"PRIKDATUM_SCORES";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"CET_AANTAL";"CET_GEM";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM"
"20221001";"20230601";"04WJ";"00";"KBS De Vonder";"5133BC";"RIEL";"785";"Goirle";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32060";"0";"44";531,636363636364;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WL";"00";"Daltonschool St Joris";"7271BR";"BORCULO";"1859";"Berkelland";"Gelderland";"Bo";"Rooms-Katholiek";"47659";"0";"31";538,258064516129;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WM";"00";"Sch md Bijbel Ruitenbeek";"6741HB";"LUNTEREN";"228";"Ede";"Gelderland";"Bo";"Reformatorisch";"47685";"0";"19";535;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WO";"00";"IKC Bentelwijz";"7497LD";"BENTELO";"1735";"Hof van Twente";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"20";536,6;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WQ";"00";"Johannes Calvijn-School";"4471CN";"WOLPHAARTSDIJK";"664";"Goes";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"7";539;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WR";"00";"Bontebrugschool";"7064LM";"SILVOLDE";"1509";"Oude IJsselstreek";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"17";537,470588235294;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WS";"00";"De Garve";"7234SM";"WICHMOND";"1876";"Bronckhorst";"Gelderland";"Bo";"Samenwerking PC, RK";"40804";"0";"0";0;"11";89,5454545454545;"0";0;"0";0;"0";0
"20221001";"20230601";"04WT";"00";"Basisschool De Vuurvlinder";"4931BD";"GEERTRUIDENBERG";"779";"Geertruidenberg";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41978";"0";"21";538;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WU";"00";"School op de Berg";"3818VG";"AMERSFOORT";"307";"Amersfoort";"Utrecht";"Bo";"Rooms-Katholiek";"71488";"0";"58";539,413793103448;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04WV";"00";"De Lei";"2451BV";"LEIMUIDEN";"1884";"Kaag en Braassem";"Zuid-Holland";"Bo";"Protestants-Christelijk";"40974";"0";"0";0;"0";0;"43";190,06976744186;"0";0;"0";0
"20221001";"20230601";"04WW";"00";"Eben Haezer";"9247AC";"URETERP";"86";"Opsterland";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";0;"21";77,9047619047619;"0";0;"0";0;"0";0
"20221001";"20230601";"04WX";"00";"Chr Basisschool Arcade";"7232GA";"WARNSVELD";"301";"Zutphen";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"<5";NA;"39";78,974358974359;"0";0;"0";0;"0";0
"20221001";"20230601";"04XA";"00";"Johannes Calvijnschool";"8321JA";"URK";"184";"Urk";"Flevoland";"Bo";"Reformatorisch";"48933";"0";"27";537,296296296296;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04XB";"00";"Basisschool De Bentetop";"7831AK";"NIEUW-WEERDINGE";"114";"Emmen";"Drenthe";"Bo";"Protestants-Christelijk";"41551";"<5";"0";0;"0";0;"14";192,142857142857;"0";0;"0";0
"20221001";"20230601";"04XC";"00";"RK Basissch De Schakel";"5324AC";"AMMERZODEN";"263";"Maasdriel";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"<5";"29";532,758620689655;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04XD";"00";"BS Klim-op";"5076AM";"HAAREN";"824";"Oisterwijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"35";534,571428571429;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04XH";"00";"Zevensprong";"2771SX";"BOSKOOP";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"<5";"29";533,275862068965;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04XL";"00";"KC Aelse";"6181CL";"ELSLOO LB";"971";"Stein";"Limburg";"Bo";"Rooms-Katholiek";"83280";"0";"0";0;"58";81,8448275862069;"0";0;"0";0;"0";0
"20221001";"20230601";"04XS";"00";"Basissch De Borckeshof";"7084AC";"BREEDENBROEK";"1509";"Oude IJsselstreek";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"0";0;"12";80,8333333333333;"0";0;"0";0;"0";0
"20221001";"20230601";"04XT";"00";"Kon Wilhelminaschool";"2935XT";"OUDERKERK AAN DEN IJSSEL";"1931";"Krimpenerwaard";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41532";"0";"0";0;"0";0;"19";207,368421052632;"0";0;"0";0
"20221001";"20230601";"04XW";"00";"Basisschool De Klimpaal";"7075AK";"ETTEN GLD";"1509";"Oude IJsselstreek";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"<5";"<5";NA;"22";81,6363636363636;"0";0;"0";0;"0";0
"20221001";"20230601";"04XX";"00";"Prinses Amaliaschool";"5282GC";"BOXTEL";"757";"Boxtel";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"0";0;"10";74,7;"0";0;"0";0;"0";0
"20221001";"20230601";"04XZ";"00";"Basissch St Theresia";"5281LG";"BOXTEL";"757";"Boxtel";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"13";537,461538461538;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04YG";"00";"Basisschool Pius X";"7076AG";"VARSSELDER";"1509";"Oude IJsselstreek";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"0";0;"10";87,1;"0";0;"0";0;"0";0
"20221001";"20230601";"04YJ";"00";"IKC De Vonkenmorgen";"6691XP";"GENDT";"1705";"Lingewaard";"Gelderland";"Bo";"Rooms-Katholiek";"71956";"<5";"45";534,666666666667;"0";0;"0";0;"0";0;"0";0
"20221001";"20230601";"04YQ";"00";"De Hoeksteen";"1402EK";"BUSSUM";"1942";"Gooise Meren";"Noord-Holland";"Bo";"Rooms-Katholiek";"53197";"0";"0";0;"0";0;"0";0;"55";371,181818181818;"0";0
"20221001";"20230601";"04YR";"00";"RK Minister Cals-School";"1412AG";"NAARDEN";"1942";"Gooise Meren";"Noord-Holland";"Bo";"Rooms-Katholiek";"53210";"0";"0";0;"51";83,2549019607843;"0";0;"0";0;"0";0
"20221001";"20230601";"04YT";"00";"Oranje Nassau";"4264SG";"VEEN";"1959";"Altena";"Noord-Brabant";"Bo";"Reformatorisch";"53262";"<5";"0";0;"39";77,3846153846154;"0";0;"0";0;"0";0
"20221001";"20230601";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"388";"Enkhuizen";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";0;"0";0;"33";204,181818181818;"0";0;"0";0
"20221001";"20230601";"04YY";"00";"Nicolaas Basisschool";"7433DK";"SCHALKHAAR";"150";"Deventer";"Overijssel";"Bo";"Rooms-Katholiek";"53730";"0";"0";0;"0";0;"53";238,622641509434;"0";0;"0";0
"20221001";"20230601";"04YZ";"00";"De Wilge";"1222SC";"HILVERSUM";"402";"Hilversum";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"<5";"58";536,775862068965;"19";74,5789473684211;"0";0;"0";0;"0";0
"20221001";"20230601";"04ZB";"00";"Mariabasisschool";"8316BL";"MARKNESSE";"171";"Noordoostpolder";"Flevoland";"Bo";"Rooms-Katholiek";"40662";"<5";"0";0;"13";82,3846153846154;"0";0;"0";0;"0";0
"20221001";"20230601";"04ZF";"00";"RK BS Petrus en Paulus";"4671CP";"DINTELOORD";"851";"Steenbergen";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"<5";NA;"17";77,3529411764706;"0";0;"0";0;"0";0
"20221001";"20230601";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"226";"Duiven";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"26";535,961538461538;"0";0;"<5";NA;"0";0;"0";0
"20221001";"20230601";"04ZI";"00";"Basissch Keuningshofke";"6104BR";"KONINGSBOSCH";"1711";"Echt-Susteren";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";NA;"0";0;"10";206,9;"0";0;"0";0
