"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM";"DOE_AANTAL";"DOE_GEM";"LIB_AANTAL";"LIB_GEM"
"20231001";"20240904";"04OS";"00";"Chr Inst Gr v Prinsterer";"1217HX";"HILVERSUM";"402";"Hilversum";"Noord-Holland";"Bo";"Protestants-Christelijk";"35218";"0";"27";"76,3703703703704";"0";"0,000000000000";"<5";NA;"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"654";"Borsele";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"11";"78,1818181818182";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OV";"00";"Kbs Daltonschool Jeanne d'Arc";"8084EX";"'T HARDE";"230";"Elburg";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"23";"75,5217391304348";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04OW";"00";"PCB De Branding";"1779BJ";"DEN OEVER";"1911";"Hollands Kroon";"Noord-Holland";"Bo";"Protestants-Christelijk";"79874";"0";"<5";NA;"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PC";"00";"SBO Park en Dijk";"2801SJ";"GOUDA";"513";"Gouda";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"41194";"19";"0";"0,0000000000000";"8";"129,750000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PE";"00";"CBS De Brug";"2415AJ";"NIEUWERBRUG AAN DEN RIJN";"1901";"Bodegraven-Reeuwijk";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41286";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"20";"180,100000000000"
"20231001";"20240904";"04PF";"00";"Chr Nat Sch Ommerkanaal";"7731TT";"OMMEN";"175";"Ommen";"Overijssel";"Bo";"Protestants-Christelijk";"36063";"0";"7";"74,4285714285714";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PH";"00";"Kon Juliana-School";"6666CK";"HETEREN";"1734";"Overbetuwe";"Gelderland";"Bo";"Protestants-Christelijk";"41460";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"21";"173,333333333333"
"20231001";"20240904";"04PI";"00";"Wilhelmina Basisschool";"7002LN";"DOETINCHEM";"222";"Doetinchem";"Gelderland";"Bo";"Protestants-Christelijk";"36349";"0";"40";"78,3250000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PJ";"00";"De Bron";"2831XT";"GOUDERAK";"1931";"Krimpenerwaard";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41532";"0";"8";"81,3750000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PK";"00";"Johannes Calvijn-School";"2803HE";"GOUDA";"513";"Gouda";"Zuid-Holland";"Bo";"Reformatorisch";"36479";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"46";"180,978260869565"
"20231001";"20240904";"04PL";"00";"Basisschool de Warande";"4571HR";"AXEL";"715";"Terneuzen";"Zeeland";"Bo";"Protestants-Christelijk";"40803";"0";"<5";NA;"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"20";"173,450000000000"
"20231001";"20240904";"04PN";"00";"Haanstra Basisschool";"2311GM";"LEIDEN";"546";"Leiden";"Zuid-Holland";"Bo";"Algemeen bijzonder";"36739";"0";"0";"0,0000000000000";"28";"219,500000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PO";"00";"Basissch De Marliaantjes";"7447SM";"HELLENDOORN";"163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"61751";"<5";"0";"0,0000000000000";"0";"0,000000000000";"10";"355,900000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PP";"00";"De Regenboog";"7914PN";"NOORDSCHESCHUT";"118";"Hoogeveen";"Drenthe";"Bo";"Protestants-Christelijk";"69877";"0";"0";"0,0000000000000";"0";"0,000000000000";"28";"357,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PQ";"00";"School met de Bijbel";"8167PL";"OENE";"232";"Epe";"Gelderland";"Bo";"Protestants-Christelijk";"36778";"0";"7";"81,5714285714286";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PR";"00";"Montessori School";"3723CH";"BILTHOVEN";"310";"De Bilt";"Utrecht";"Bo";"Algemeen bijzonder";"36817";"0";"28";"84,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PS";"00";"Jan Barbier-School";"7447RH";"HELLENDOORN";"163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"<5";NA
"20231001";"20240904";"04PV";"00";"Streekschool De Wierde";"9951VZ";"WINSUM GN";"1966";"Het Hogeland";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"37038";"0";"21";"81,6666666666667";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PW";"00";"Pr Johan Friso";"3249AC";"HERKINGEN";"1924";"Goeree-Overflakkee";"Zuid-Holland";"Bo";"Protestants-Christelijk";"42632";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"9";"175,333333333333"
"20231001";"20240904";"04PX";"00";"Basisschool De Hoeksteen";"4021HH";"MAURIK";"214";"Buren";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"39";"171,897435897436"
"20231001";"20240904";"04PY";"00";"PC Basissch De Hoeksteen";"7912TB";"NIEUWEROORD";"118";"Hoogeveen";"Drenthe";"Bo";"Protestants-Christelijk";"69877";"0";"0";"0,0000000000000";"<5";NA;"8";"351,250000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"297";"Zaltbommel";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"6";"83,1666666666667";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"308";"Baarn";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"62";"179,677419354839"
"20231001";"20240904";"04QD";"00";"Bussumse Montessorisch";"1401BC";"BUSSUM";"1942";"Gooise Meren";"Noord-Holland";"Bo";"Algemeen bijzonder";"41376";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"29";"178,000000000000"
"20231001";"20240904";"04QE";"00";"Kindcentrum De Akker";"7783AB";"GRAMSBERGEN";"160";"Hardenberg";"Overijssel";"Bo";"Protestants-Christelijk";"40946";"<5";"30";"78,4000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04QG";"00";"School met de Bijbel";"2971BH";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Protestants-Christelijk";"32631";"10";"6";"70,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"36";"173,472222222222"
"20231001";"20240904";"04QH";"00";"Vondelschool";"1401SP";"BUSSUM";"1942";"Gooise Meren";"Noord-Holland";"Bo";"Algemeen bijzonder";"40714";"0";"49";"82,9795918367347";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04QI";"00";"School met de Bijbel";"3264AL";"NIEUW-BEIJERLAND";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Reformatorisch";"37857";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"27";"173,518518518519"
"20231001";"20240904";"04QL";"00";"Eben Haezer-School";"2941VE";"LEKKERKERK";"1931";"Krimpenerwaard";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41532";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"17";"174,941176470588"
"20231001";"20240904";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"613";"Albrandswaard";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"27";"173,740740740741"
"20231001";"20240904";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"93";"Terschelling";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"<5";NA;"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"04QP";"00";"Wilhelmina Basisschool";"5707RM";"HELMOND";"794";"Helmond";"Noord-Brabant";"Bo";"Algemeen bijzonder";"38169";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"50";"178,020000000000"
